show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Return of Revenge,Christopher Nolan,Deepika Padukone; Alia Bhatt; Dhanush; Prabhas,Mexico,"February 24, 2016",2014,TV-MA,155 min,"Romantic Movies, Dramas","A heartfelt Romantic Movies exploring family, friendship, and dreams in Mexico."
s2,Movie,Rise of Revenge,Rajkumar Hirani,Ram Charan; Alia Bhatt,South Korea,"August 10, 2021",1997,TV-G,80 min,"Action & Adventure, Romantic Movies, Horror Movies","A Action & Adventure story set in South Korea, following Alia Bhatt on an unexpected journey."
s3,Movie,Voices in Time,Anubhav Sinha,Ryan Gosling; Ram Charan,Germany,"October 08, 2021",1996,TV-G,85 min,"Mystery, Crime TV Shows, Comedies","A heartfelt Mystery exploring family, friendship, and dreams in Germany."
s4,TV Show,Journey to Storm,James Cameron,Ryan Gosling; Tom Cruise; Alia Bhatt; Vijay Deverakonda,India,"July 07, 2015",1994,TV-G,5 Seasons,"Comedies, Action & Adventure","In India, a group of strangers cross paths in this emotional Comedies."
s5,Movie,Dreams of Revenge,Karan Johar,Scarlett Johansson; Emma Stone; Ranbir Kapoor,Mexico,"August 31, 2022",2021,TV-MA,157 min,"Thrillers, Crime TV Shows","When everything goes wrong, Scarlett Johansson must fight to set things right in this Thrillers."
s6,TV Show,Voices in Love,Greta Gerwig,Shah Rukh Khan; Emma Stone; Leonardo DiCaprio; N. T. Rama Rao Jr.,United States,"July 27, 2017",1982,TV-G,6 Seasons,"Romantic Movies, Comedies, Sci-Fi & Fantasy","Leonardo DiCaprio stars in this gripping Romantic Movies about choices, fate, and second chances."
s7,TV Show,Shadows of Revenge,Anubhav Sinha,Dhanush; Prabhas; Ranbir Kapoor; Vijay Deverakonda,Canada,"May 10, 2023",2015,PG,5 Seasons,"Mystery, Kids' TV, Romantic Movies","A heartfelt Mystery exploring family, friendship, and dreams in Canada."
s8,TV Show,Battle for Storm,S. S. Rajamouli,Alia Bhatt; Prabhas,Brazil,"October 17, 2016",2007,PG,2 Seasons,"Romantic Movies, Thrillers, Crime TV Shows","A Romantic Movies story set in Brazil, following Alia Bhatt on an unexpected journey."
s9,TV Show,Voices in Empire,James Cameron,Alia Bhatt; Ranbir Kapoor; Scarlett Johansson,United Kingdom,"February 02, 2020",1980,TV-PG,5 Seasons,"Crime TV Shows, Kids' TV","In United Kingdom, a group of strangers cross paths in this emotional Crime TV Shows."
s10,Movie,The Last Revenge,Martin Scorsese,Leonardo DiCaprio; Deepika Padukone; N. T. Rama Rao Jr.,Japan,"January 03, 2015",2000,R,82 min,"Comedies, Horror Movies, Documentaries","A Comedies story set in Japan, following N. T. Rama Rao Jr. on an unexpected journey."
s11,Movie,Echoes of Kings,Spike Lee,Prabhas; N. T. Rama Rao Jr.; Deepika Padukone,United Kingdom,"June 09, 2016",2010,PG,101 min,"Documentaries, Sci-Fi & Fantasy, Kids' TV","Deepika Padukone stars in this gripping Documentaries about choices, fate, and second chances."
